config,id,latency_s,mrr,relevant_top3,top1
small_o0,Q06,0.03338070000063453,1.0,True,True
small_o0,Q07,0.03639939999993658,1.0,True,True
small_o0,Q08,0.03361819999918225,1.0,True,True
small_o0,Q09,0.022113600000011502,1.0,True,True
small_o0,Q10,0.034764500000164844,1.0,True,True
small_o0,Q11,0.04827780000050552,1.0,True,True
small_o0,Q12,0.04388979999930598,1.0,True,True
small_o0,Q13,0.2287056000004668,0.25,False,False
small_o0,Q14,0.08269139999902109,1.0,True,True
small_o0,Q15,0.283765799998946,1.0,True,True
small_o10,Q06,0.014862100000755163,1.0,True,True
small_o10,Q07,0.01409330000024056,1.0,True,True
small_o10,Q08,0.015160899998591049,1.0,True,True
small_o10,Q09,0.013198799999372568,1.0,True,True
small_o10,Q10,0.014947199999369332,1.0,True,True
small_o10,Q11,0.016225499999563908,1.0,True,True
small_o10,Q12,0.014134299999568611,1.0,True,True
small_o10,Q13,0.012478900000132853,0.25,False,False
small_o10,Q14,0.013448600000629085,1.0,True,True
small_o10,Q15,0.04472119999991264,1.0,True,True
small_o20,Q06,0.014982299999246607,1.0,True,True
small_o20,Q07,0.012607099999513594,1.0,True,True
small_o20,Q08,0.02700590000131342,1.0,True,True
small_o20,Q09,0.01278459999957704,1.0,True,True
small_o20,Q10,0.01265160000002652,1.0,True,True
small_o20,Q11,0.03560980000111158,1.0,True,True
small_o20,Q12,0.013443100000586128,1.0,True,True
small_o20,Q13,0.015809999998964486,0.5,True,False
small_o20,Q14,0.012868300000263844,1.0,True,True
small_o20,Q15,0.01442270000006829,1.0,True,True
medium_o0,Q06,0.02705000000059954,1.0,True,True
medium_o0,Q07,0.0234426999995776,1.0,True,True
medium_o0,Q08,0.02024410000012722,1.0,True,True
medium_o0,Q09,0.02013279999846418,1.0,True,True
medium_o0,Q10,0.022192500000528526,1.0,True,True
medium_o0,Q11,0.02458900000056019,1.0,True,True
medium_o0,Q12,0.02473180000015418,1.0,True,True
medium_o0,Q13,0.02543100000002596,0.3333333333333333,True,False
medium_o0,Q14,0.027452900001662783,1.0,True,True
medium_o0,Q15,0.11107439999977942,1.0,True,True
medium_o20,Q06,0.04222180000033404,1.0,True,True
medium_o20,Q07,0.029910100000051898,1.0,True,True
medium_o20,Q08,0.06776179999906162,1.0,True,True
medium_o20,Q09,0.05168079999930342,1.0,True,True
medium_o20,Q10,0.029322599999431986,1.0,True,True
medium_o20,Q11,0.030148099998768885,1.0,True,True
medium_o20,Q12,0.02517439999974158,1.0,True,True
medium_o20,Q13,0.024752499999522115,0.3333333333333333,True,False
medium_o20,Q14,0.04684679999991204,1.0,True,True
medium_o20,Q15,0.07542950000060955,1.0,True,True
medium_o40,Q06,0.02658030000020517,1.0,True,True
medium_o40,Q07,0.015631300000677584,1.0,True,True
medium_o40,Q08,0.04008520000024873,1.0,True,True
medium_o40,Q09,0.0399608999996417,1.0,True,True
medium_o40,Q10,0.013509799999155803,1.0,True,True
medium_o40,Q11,0.045035200000711484,1.0,True,True
medium_o40,Q12,0.02338690000033239,1.0,True,True
medium_o40,Q13,0.046443100000033155,0.3333333333333333,True,False
medium_o40,Q14,0.015694199999416014,1.0,True,True
medium_o40,Q15,0.015942699999868637,1.0,True,True
large_o0,Q06,0.029051499999695807,1.0,True,True
large_o0,Q07,0.030111000000033528,1.0,True,True
large_o0,Q08,0.014738900001248112,1.0,True,True
large_o0,Q09,0.06744489999982761,1.0,True,True
large_o0,Q10,0.014706300000398187,0.5,True,False
large_o0,Q11,0.015229399999952875,1.0,True,True
large_o0,Q12,0.015301700001145946,1.0,True,True
large_o0,Q13,0.030896099999154103,0.5,True,False
large_o0,Q14,0.015316099999836297,1.0,True,True
large_o0,Q15,0.02793519999977434,1.0,True,True
large_o40,Q06,0.05409789999976056,1.0,True,True
large_o40,Q07,0.01850919999924372,1.0,True,True
large_o40,Q08,0.02788479999981064,1.0,True,True
large_o40,Q09,0.01589860000058252,1.0,True,True
large_o40,Q10,0.023382700001093326,0.5,True,False
large_o40,Q11,0.019650500000352622,1.0,True,True
large_o40,Q12,0.01796939999985625,1.0,True,True
large_o40,Q13,0.018979899999976624,0.5,True,False
large_o40,Q14,0.05003939999915019,1.0,True,True
large_o40,Q15,0.08153999999922235,1.0,True,True
large_o80,Q06,0.16386330000023008,1.0,True,True
large_o80,Q07,0.029906699999628472,1.0,True,True
large_o80,Q08,0.032240800001090975,1.0,True,True
large_o80,Q09,0.030293199999505305,1.0,True,True
large_o80,Q10,0.027781900000263704,0.5,True,False
large_o80,Q11,0.02848439999979746,1.0,True,True
large_o80,Q12,0.02544789999956265,1.0,True,True
large_o80,Q13,0.026180500000918983,0.5,True,False
large_o80,Q14,0.028126999999585678,1.0,True,True
large_o80,Q15,0.03180160000010801,1.0,True,True
